['metadata.dataVersion', '2']
['metadata.matchId', 'NA1_5455352649']
['info.endOfGameResult', 'GameComplete']
['info.gameCreation', 1767509437842]
['info.gameDuration', 1594]
['info.gameEndTimestamp', 1767511109144]
['info.gameId', 5455352649]
['info.gameMode', 'CHERRY']
['info.gameName', 'teambuilder-match-5455352649']
['info.gameStartTimestamp', 1767509514716]
['info.gameType', 'MATCHED_GAME']
['info.gameVersion', '15.24.734.7485']
['info.mapId', 30]
['info.participants[0].PlayerScore0', 6]
['info.participants[0].PlayerScore1', 8]
['info.participants[0].PlayerScore10', 0]
['info.participants[0].PlayerScore11', 0]
['info.participants[0].PlayerScore2', 999.158203125]
['info.participants[0].PlayerScore3', 0.40625]
['info.participants[0].PlayerScore4', -0.34999990463256836]
['info.participants[0].PlayerScore5', 4059.53662109375]
['info.participants[0].PlayerScore6', 5905.89697265625]
['info.participants[0].PlayerScore7', 3754.125]
['info.participants[0].PlayerScore8', 13.140372276306152]
['info.participants[0].PlayerScore9', 0]
['info.participants[0].allInPings', 0]
['info.participants[0].assistMePings', 0]
['info.participants[0].assists', 0]
['info.participants[0].baronKills', 0]
['info.participants[0].basicPings', 0]
['info.participants[0].challenges.12AssistStreakCount', 0]
['info.participants[0].challenges.HealFromMapSources', 5286.555610656738]
['info.participants[0].challenges.InfernalScalePickup', 0]
['info.participants[0].challenges.SWARM_DefeatAatrox', 0]
['info.participants[0].challenges.SWARM_DefeatBriar', 0]
['info.participants[0].challenges.SWARM_DefeatMiniBosses', 0]
['info.participants[0].challenges.SWARM_EvolveWeapon', 0]
['info.participants[0].challenges.SWARM_Have3Passives', 0]
['info.participants[0].challenges.SWARM_KillEnemy', 0]
['info.participants[0].challenges.SWARM_PickupGold', 0]
['info.participants[0].challenges.SWARM_ReachLevel50', 0]
['info.participants[0].challenges.SWARM_Survive15Min', 0]
['info.participants[0].challenges.SWARM_WinWith5EvolvedWeapons', 0]
['info.participants[0].challenges.abilityUses', 287]
['info.participants[0].challenges.acesBefore15Minutes', 1]
['info.participants[0].challenges.alliedJungleMonsterKills', 0]
['info.participants[0].challenges.baronTakedowns', 0]
['info.participants[0].challenges.blastConeOppositeOpponentCount', 0]
['info.participants[0].challenges.bountyGold', 0]
['info.participants[0].challenges.buffsStolen', 0]
['info.participants[0].challenges.completeSupportQuestInTime', 0]
['info.participants[0].challenges.controlWardsPlaced', 0]
['info.participants[0].challenges.damagePerMinute', 1221.8743954059723]
['info.participants[0].challenges.damageTakenOnTeamPercentage', 0.15083800439792144]
['info.participants[0].challenges.dancedWithRiftHerald', 0]
['info.participants[0].challenges.deathsByEnemyChamps', 11]
['info.participants[0].challenges.dodgeSkillShotsSmallWindow', 5]
['info.participants[0].challenges.doubleAces', 0]
['info.participants[0].challenges.dragonTakedowns', 0]
['info.participants[0].challenges.effectiveHealAndShielding', 0]
['info.participants[0].challenges.elderDragonKillsWithOpposingSoul', 0]
['info.participants[0].challenges.elderDragonMultikills', 0]
['info.participants[0].challenges.enemyChampionImmobilizations', 1]
['info.participants[0].challenges.enemyJungleMonsterKills', 0]
['info.participants[0].challenges.epicMonsterKillsNearEnemyJungler', 0]
['info.participants[0].challenges.epicMonsterKillsWithin30SecondsOfSpawn', 0]
['info.participants[0].challenges.epicMonsterSteals', 0]
['info.participants[0].challenges.epicMonsterStolenWithoutSmite', 0]
['info.participants[0].challenges.firstTurretKilled', 0]
['info.participants[0].challenges.fistBumpParticipation', 0]
['info.participants[0].challenges.flawlessAces', 0]
['info.participants[0].challenges.fullTeamTakedown', 0]
['info.participants[0].challenges.gameLength', 1594.744587047]
['info.participants[0].challenges.getTakedownsInAllLanesEarlyJungleAsLaner', 0]
['info.participants[0].challenges.goldPerMinute', 261.4838786016273]
['info.participants[0].challenges.hadOpenNexus', 0]
['info.participants[0].challenges.immobilizeAndKillWithAlly', 0]
['info.participants[0].challenges.initialBuffCount', 0]
['info.participants[0].challenges.initialCrabCount', 0]
['info.participants[0].challenges.jungleCsBefore10Minutes', 0]
['info.participants[0].challenges.junglerTakedownsNearDamagedEpicMonster', 0]
['info.participants[0].challenges.kTurretsDestroyedBeforePlatesFall', 0]
['info.participants[0].challenges.kda', 0.36363636363636365]
['info.participants[0].challenges.killAfterHiddenWithAlly', 1]
['info.participants[0].challenges.killParticipation', 0.15384615384615385]
['info.participants[0].challenges.killedChampTookFullTeamDamageSurvived', 0]
['info.participants[0].challenges.killingSprees', 0]
['info.participants[0].challenges.killsNearEnemyTurret', 0]
['info.participants[0].challenges.killsOnOtherLanesEarlyJungleAsLaner', 0]
['info.participants[0].challenges.killsOnRecentlyHealedByAramPack', 0]
['info.participants[0].challenges.killsUnderOwnTurret', 0]
['info.participants[0].challenges.killsWithHelpFromEpicMonster', 0]
['info.participants[0].challenges.knockEnemyIntoTeamAndKill', 0]
['info.participants[0].challenges.landSkillShotsEarlyGame', 0]
['info.participants[0].challenges.laneMinionsFirst10Minutes', 0]
['info.participants[0].challenges.legendaryCount', 0]
['info.participants[0].challenges.lostAnInhibitor', 0]
['info.participants[0].challenges.maxKillDeficit', 0]
['info.participants[0].challenges.mejaisFullStackInTime', 0]
['info.participants[0].challenges.moreEnemyJungleThanOpponent', 0]
['info.participants[0].challenges.multiKillOneSpell', 0]
['info.participants[0].challenges.multiTurretRiftHeraldCount', 0]
['info.participants[0].challenges.multikills', 2]
['info.participants[0].challenges.multikillsAfterAggressiveFlash', 0]
['info.participants[0].challenges.outerTurretExecutesBefore10Minutes', 0]
['info.participants[0].challenges.outnumberedKills', 0]
['info.participants[0].challenges.outnumberedNexusKill', 0]
['info.participants[0].challenges.perfectDragonSoulsTaken', 0]
['info.participants[0].challenges.perfectGame', 0]
['info.participants[0].challenges.pickKillWithAlly', 4]
['info.participants[0].challenges.poroExplosions', 0]
['info.participants[0].challenges.quickCleanse', 0]
['info.participants[0].challenges.quickFirstTurret', 0]
['info.participants[0].challenges.quickSoloKills', 0]
['info.participants[0].challenges.riftHeraldTakedowns', 0]
['info.participants[0].challenges.saveAllyFromDeath', 0]
['info.participants[0].challenges.scuttleCrabKills', 0]
['info.participants[0].challenges.skillshotsDodged', 70]
['info.participants[0].challenges.skillshotsHit', 0]
['info.participants[0].challenges.snowballsHit', 0]
['info.participants[0].challenges.soloBaronKills', 0]
['info.participants[0].challenges.soloKills', 0]
['info.participants[0].challenges.stealthWardsPlaced', 0]
['info.participants[0].challenges.survivedSingleDigitHpCount', 0]
['info.participants[0].challenges.survivedThreeImmobilizesInFight', 4]
['info.participants[0].challenges.takedownOnFirstTurret', 0]
['info.participants[0].challenges.takedowns', 4]
['info.participants[0].challenges.takedownsAfterGainingLevelAdvantage', 0]
['info.participants[0].challenges.takedownsBeforeJungleMinionSpawn', 0]
['info.participants[0].challenges.takedownsFirstXMinutes', 4]
['info.participants[0].challenges.takedownsInAlcove', 0]
['info.participants[0].challenges.takedownsInEnemyFountain', 0]
['info.participants[0].challenges.teamBaronKills', 0]
['info.participants[0].challenges.teamDamagePercentage', 0.1478255032936521]
['info.participants[0].challenges.teamElderDragonKills', 0]
['info.participants[0].challenges.teamRiftHeraldKills', 0]
['info.participants[0].challenges.tookLargeDamageSurvived', 0]
['info.participants[0].challenges.turretPlatesTaken', 0]
['info.participants[0].challenges.turretTakedowns', 0]
['info.participants[0].challenges.turretsTakenWithRiftHerald', 0]
['info.participants[0].challenges.twentyMinionsIn3SecondsCount', 0]
['info.participants[0].challenges.twoWardsOneSweeperCount', 0]
['info.participants[0].challenges.unseenRecalls', 0]
['info.participants[0].challenges.visionScorePerMinute', 0]
['info.participants[0].challenges.voidMonsterKill', 0]
['info.participants[0].challenges.wardTakedowns', 0]
['info.participants[0].challenges.wardTakedownsBefore20M', 0]
['info.participants[0].challenges.wardsGuarded', 5]
['info.participants[0].champExperience', 13000]
['info.participants[0].champLevel', 14]
['info.participants[0].championId', 8]
['info.participants[0].championName', 'Vladimir']
['info.participants[0].championTransform', 0]
['info.participants[0].commandPings', 0]
['info.participants[0].consumablesPurchased', 0]
['info.participants[0].damageDealtToBuildings', 0]
['info.participants[0].damageDealtToEpicMonsters', 0]
['info.participants[0].damageDealtToObjectives', 0]
['info.participants[0].damageDealtToTurrets', 0]
['info.participants[0].damageSelfMitigated', 31859]
['info.participants[0].dangerPings', 0]
['info.participants[0].deaths', 11]
['info.participants[0].detectorWardsPlaced', 0]
['info.participants[0].doubleKills', 2]
['info.participants[0].dragonKills', 0]
['info.participants[0].eligibleForProgression', True]
['info.participants[0].enemyMissingPings', 0]
['info.participants[0].enemyVisionPings', 0]
['info.participants[0].firstBloodAssist', False]
['info.participants[0].firstBloodKill', False]
['info.participants[0].firstTowerAssist', False]
['info.participants[0].firstTowerKill', False]
['info.participants[0].gameEndedInEarlySurrender', False]
['info.participants[0].gameEndedInSurrender', False]
['info.participants[0].getBackPings', 0]
['info.participants[0].goldEarned', 6950]
['info.participants[0].goldSpent', 6000]
['info.participants[0].holdPings', 0]
['info.participants[0].individualPosition', 'Invalid']
['info.participants[0].inhibitorKills', 0]
['info.participants[0].inhibitorTakedowns', 0]
['info.participants[0].inhibitorsLost', 0]
['info.participants[0].item0', 223112]
['info.participants[0].item1', 223158]
['info.participants[0].item2', 447118]
['info.participants[0].item3', 224633]
['info.participants[0].item4', 221058]
['info.participants[0].item5', 223089]
['info.participants[0].item6', 3348]
['info.participants[0].itemsPurchased', 4]
['info.participants[0].killingSprees', 0]
['info.participants[0].kills', 4]
['info.participants[0].lane', 'JUNGLE']
['info.participants[0].largestCriticalStrike', 0]
['info.participants[0].largestKillingSpree', 2]
['info.participants[0].largestMultiKill', 2]
['info.participants[0].longestTimeSpentLiving', 110]
['info.participants[0].magicDamageDealt', 59098]
['info.participants[0].magicDamageDealtToChampions', 28653]
['info.participants[0].magicDamageTaken', 20413]
['info.participants[0].missions.playerScore0', 6]
['info.participants[0].missions.playerScore1', 8]
['info.participants[0].missions.playerScore2', 999.158203125]
['info.participants[0].missions.playerScore3', 0.40625]
